Category,Entry
2,142
2,141
2,147
2,159
2,152
2,163
2,145
1,160
1,157
1,156
1,155
1,154
1,153
1,152
1,151
1,149
1,148
1,147
1,146
1,145
1,143
1,142
1,141
1,140
1,139
1,138
1,137
1,136
1,135
1,134
1,133
1,132
1,130
1,129
1,128
1,127
1,126
1,125
1,144
1,166
1,167
1,168
1,169
1,170
1,162
1,163
1,164
1,165
1,159
1,158
